Ambient Temp (degC),Time (s),Arclength_0.0 (mm),Arclength_6.0 (mm),Arclength_12.0 (mm),Arclength_18.0 (mm),Arclength_24.0 (mm),Arclength_30.0 (mm),Arclength_36.0 (mm),Arclength_42.0 (mm),Arclength_48.0 (mm),Arclength_54.0 (mm),Arclength_60.0 (mm),Arclength_61.2271618164903 (mm),Arclength_62.4656655809871 (mm),Arclength_63.7328160075048 (mm),Arclength_65.0 (mm),Electric Potential (V)
2,18000,44.69154322331467,49.97536524980004,50.423374243459946,50.31834260933991,50.133583956343976,50.02339033935717,49.79949364354823,49.43993277973702,49.24337947585312,49.09985409761569,47.91193281077298,47.68552168195107,50.52080751921194,54.36030755700682,105.45885668653284,4.75431067360704
2,21600,30.692619429845937,34.325762347054834,34.631599723950515,34.559419047342715,34.43202045665721,34.355704778800416,34.20096962455019,33.953441615093936,33.817885788969065,33.719683903079485,32.90591066707607,32.749305744717155,34.701283022327914,37.33549008488461,72.42644156024957,3.54474507990048
3,3600,43.97946222788225,49.18801396090935,49.63547135444549,49.53091631399036,49.34936990769458,49.239767102856405,49.01872066401657,48.660034638988094,48.46433981397195,48.3195159166721,47.15403652597877,46.93311357868833,49.72740997491727,53.50280160539752,103.8203122229398,4.752574794339461
3,7200,29.6181420873965,33.130253257319815,33.429776320506626,33.35929805376101,33.23651651086706,33.162069139170235,33.012263782310136,32.77013601765685,32.63779177668901,32.540596561381946,31.757537696960306,31.607612101407245,33.4941065276501,36.03421750897782,69.91814494227881,3.5602335782342656
3,10800,44.25411410635556,49.49506005526642,49.94536571248299,49.84015728368654,49.65748812630948,49.54720858454962,49.3247931819864,48.96386743641963,48.76695058655692,48.62120897602013,47.448441487675126,47.22618528521586,50.03782455157763,53.83681740568194,104.46888619565875,4.752541932675769
3,14400,29.620411890774427,33.13278960769863,33.43233458522347,33.361857539822466,33.23906910061103,33.16461647333223,33.014795390539376,32.77264773351897,32.640293329525186,32.543089319533834,31.75996994759115,31.610032168020027,33.496669992054166,36.03697627922515,69.92349765127162,3.56024155202728
3,18000,44.254192828519,49.495147253565776,49.94545434638841,49.840248867475545,49.657577745539406,49.54730153586142,49.324893939885,48.96396839236661,48.76705275547659,48.621312968649946,47.4485427028037,47.22628662467484,50.037930339404426,53.83693072554257,104.46910570467637,4.752547167200397
3,21600,29.620224916156506,33.13258234020712,33.4321268706669,33.36164322314461,33.23885404297528,33.16440325633077,33.014586786275586,32.7724413804506,32.64008729771025,32.542885053329115,31.759771298956537,31.609834825963933,33.49646095719755,36.03675125781476,69.92306106570061,3.5602466577842686
4,3600,43.57012093059775,48.73900540510003,49.1876941770936,49.08439752123074,48.9019240428747,48.79366684205812,48.56386695042197,48.21327888111404,48.01686199509321,47.86966863364822,46.72204066308097,46.50400832213141,49.274610511752805,53.01221381199261,102.8929095663184,4.750879959787989
4,7200,28.681905827159863,32.08897560426209,32.382514466985214,32.31444656829202,32.19379784915654,32.12190341580242,31.969692304106623,31.738347766883365,31.608504237555103,31.51192722587756,30.75814592496253,30.61342683784392,32.44189938784981,34.90002978404634,67.73285093324014,3.5722338834069305
4,10800,43.83930775618731,49.03999816851409,49.49150967291664,49.38758290260033,49.20399465040427,49.09507938678155,48.86387196653224,48.511115307585314,48.31348583603024,48.16537290890639,47.01064509343005,46.79131136510957,49.578925611467454,53.33964438817242,103.52883723330568,4.750849398595536
4,14400,28.68424802617809,32.09159519373097,32.385158193970014,32.31708555870229,32.196422980149606,32.124523278377026,31.972299575756644,31.740935865317848,31.61108405406538,31.51449977908547,30.76065600035645,30.61592603090265,32.44454684924949,34.90287833928002,67.7383795215892,3.5722406254162635
4,18000,43.83935193375496,49.04004627568875,49.49155980477634,49.38763046243709,49.20403819574211,49.095119446588704,48.86391653836085,48.51116242940911,48.31353381926336,48.165419834139534,47.01069006568895,46.79135579259558,49.57897332504661,53.33969591167458,103.52893713783348,4.750854553179946
4,21600,28.684041374348524,32.09136483493819,32.38492600371309,32.31685616318339,32.1961979042685,32.12429590257956,31.97207237721444,31.740709786390028,31.610855668096114,31.514271245571287,30.76042803494007,30.615700552568043,32.44430970898724,34.90262238993281,67.73788336051203,3.572245065413736
